Timestamp(us),Sensor id,Value 0,Value 1,Value 2  
1610991091029080,1,0.99857,0.05664,-0.00781
1610991091029080,2,-1.648,-0.61037,-0.36622
1610991091039190,1,0.99857,0.05567,-0.00586
1610991091039190,2,-1.52593,-0.67141,-0.30519
1610991091049310,1,0.99759,0.05664,-0.00732
1610991091049310,2,-1.58696,-0.61037,-0.30519
1610991091059420,1,0.99759,0.05811,-0.00732
1.61099E+15,2,-1.40385,-0.79348,-0.30519
1.61099E+15,1,0.99759,0.05762,-0.00732
1.61099E+15,2,-1.58696,-0.67141,-0.30519
1.61099E+15,1,0.99759,0.05713,-0.00732
1.61099E+15,2,-1.52593,-0.79348,-0.36622
1.61099E+15,1,0.99759,0.05615,-0.0083
1.61099E+15,2,-1.46489,-0.79348,-0.30519
1.61099E+15,1,0.99808,0.05615,-0.00732
1.61099E+15,2,-1.58696,-0.61037,-0.30519
1.61099E+15,1,0.9971,0.05615,-0.00684
1.61099E+15,2,-1.52593,-0.79348,-0.30519
1.61099E+15,1,0.99808,0.05713,-0.00781
1.61099E+15,2,-1.58696,-0.67141,-0.36622
1.61099E+15,1,0.99808,0.05713,-0.00684
1.61099E+15,2,-1.52593,-0.85452,-0.30519
1.61099E+15,1,0.99661,0.05664,-0.0083
1.61099E+15,2,-1.52593,-0.85452,-0.30519
1.61099E+15,1,0.9971,0.05713,-0.00586
1.61099E+15,2,-1.52593,-0.67141,-0.30519
1.61099E+15,1,0.99808,0.05664,-0.00732
1.61099E+15,2,-1.46489,-0.67141,-0.30519
1.61099E+15,1,0.99759,0.05615,-0.00684
1.61099E+15,2,-1.52593,-0.73244,-0.36622
1.61099E+15,1,0.9971,0.05811,-0.00635
1.61099E+15,2,-1.58696,-0.61037,-0.30519
1.61099E+15,1,0.9971,0.05518,-0.00781
1.61099E+15,2,-1.58696,-0.67141,-0.30519
1.61099E+15,1,0.9971,0.05615,-0.00732
1.61099E+15,2,-1.46489,-0.73244,-0.30519
1.61099E+15,1,0.99759,0.05615,-0.00732
1.61099E+15,2,-1.58696,-0.73244,-0.36622
1.61099E+15,1,0.99808,0.05664,-0.0083
1.61099E+15,2,-1.52593,-0.79348,-0.30519
1.61099E+15,1,0.99661,0.05615,-0.00781
1.61099E+15,2,-1.58696,-0.79348,-0.24415
